I (795098) MPU6050: g_total(raw)=1.004 g (ax=0.019, ay=-0.969, az=-0.261)
I (795198) MPU6050: g_total(raw)=1.003 g (ax=0.012, ay=-0.970, az=-0.256)
I (795298) MPU6050: g_total(raw)=1.003 g (ax=0.007, ay=-0.962, az=-0.283)
I (795398) MPU6050: g_total(raw)=1.004 g (ax=0.009, ay=-0.966, az=-0.273)
I (795498) MPU6050: g_total(raw)=1.005 g (ax=0.012, ay=-0.969, az=-0.268)
I (795598) MPU6050: g_total(raw)=1.007 g (ax=0.016, ay=-0.969, az=-0.273)
I (795698) MPU6050: g_total(raw)=1.006 g (ax=0.003, ay=-0.964, az=-0.287)
I (795798) MPU6050: g_total(raw)=1.014 g (ax=0.008, ay=-0.970, az=-0.294)
I (795898) MPU6050: g_total(raw)=1.004 g (ax=0.007, ay=-0.960, az=-0.292)
I (795998) MPU6050: g_total(raw)=0.996 g (ax=0.014, ay=-0.947, az=-0.308)
I (796098) MPU6050: g_total(raw)=1.004 g (ax=0.008, ay=-0.959, az=-0.294)
I (796198) MPU6050: g_total(raw)=1.000 g (ax=0.007, ay=-0.958, az=-0.288)
I (796298) MPU6050: g_total(raw)=0.999 g (ax=0.010, ay=-0.952, az=-0.302)
I (796398) MPU6050: g_total(raw)=1.012 g (ax=0.009, ay=-0.966, az=-0.300)
I (796498) MPU6050: g_total(raw)=1.004 g (ax=0.024, ay=-0.959, az=-0.294)
I (796598) MPU6050: g_total(raw)=1.000 g (ax=0.024, ay=-0.946, az=-0.324)
I (796698) MPU6050: g_total(raw)=1.004 g (ax=0.018, ay=-0.951, az=-0.322)
I (796798) MPU6050: g_total(raw)=1.003 g (ax=0.015, ay=-0.950, az=-0.321)
I (796898) MPU6050: g_total(raw)=1.001 g (ax=0.007, ay=-0.949, az=-0.317)
I (796998) MPU6050: g_total(raw)=1.008 g (ax=0.014, ay=-0.953, az=-0.330)
I (797098) MPU6050: g_total(raw)=0.998 g (ax=0.012, ay=-0.942, az=-0.331)
I (797198) MPU6050: g_total(raw)=0.999 g (ax=0.013, ay=-0.945, az=-0.325)
I (797298) MPU6050: g_total(raw)=0.997 g (ax=0.018, ay=-0.940, az=-0.333)
I (797398) MPU6050: g_total(raw)=1.003 g (ax=0.017, ay=-0.945, az=-0.335)
I (797498) MPU6050: g_total(raw)=0.995 g (ax=0.039, ay=-0.942, az=-0.320)
I (797598) MPU6050: g_total(raw)=1.004 g (ax=0.009, ay=-0.945, az=-0.341)
I (797698) MPU6050: g_total(raw)=1.001 g (ax=0.027, ay=-0.938, az=-0.349)
I (797798) MPU6050: g_total(raw)=0.999 g (ax=0.011, ay=-0.939, az=-0.339)
I (797898) MPU6050: g_total(raw)=0.994 g (ax=0.009, ay=-0.931, az=-0.350)
I (797998) MPU6050: g_total(raw)=1.005 g (ax=0.016, ay=-0.940, az=-0.357)
I (798098) MPU6050: g_total(raw)=0.998 g (ax=0.016, ay=-0.934, az=-0.351)
I (798198) MPU6050: g_total(raw)=0.993 g (ax=-0.014, ay=-0.928, az=-0.353)
I (798298) MPU6050: g_total(raw)=0.998 g (ax=0.011, ay=-0.933, az=-0.354)
I (798398) MPU6050: g_total(raw)=0.996 g (ax=0.007, ay=-0.928, az=-0.362)
I (798498) MPU6050: g_total(raw)=1.001 g (ax=0.008, ay=-0.933, az=-0.363)
